iter	Passed	Remaining
409	3835	14873
410	3843	14859
411	3851	14846
412	3859	14831
413	3867	14816
414	3875	14802
415	3883	14786
416	3896	14791
417	3909	14795
418	3917	14782
419	3925	14767
420	3933	14754
421	3941	14740
422	3950	14727
423	3958	14713
424	3966	14699
425	3974	14685
426	3982	14670
427	3990	14656
428	3998	14642
429	4006	14628
430	4014	14613
431	4022	14598
432	4030	14584
433	4037	14569
434	4045	14555
435	4053	14540
436	4061	14526
437	4080	14551
438	4091	14547
439	4099	14536
440	4107	14522
441	4116	14509
442	4124	14495
443	4132	14481
444	4141	14470
445	4149	14456
446	4156	14442
447	4165	14430
448	4173	14416
449	4181	14403
450	4189	14390
451	4197	14377
452	4205	14363
453	4213	14349
454	4221	14335
455	4229	14321
456	4248	14343
457	4261	14347
458	4271	14341
459	4279	14328
460	4288	14317
461	4296	14303
462	4304	14289
463	4312	14275
464	4320	14262
465	4328	14249
466	4336	14236
467	4345	14223
468	4353	14210
469	4361	14196
470	4369	14183
471	4376	14168
472	4384	14155
473	4393	14143
474	4401	14131
475	4409	14118
476	4422	14120
477	4433	14115
478	4443	14110
479	4451	14095
480	4459	14082
481	4467	14069
482	4475	14056
483	4483	14042
484	4491	14029
485	4499	14016
486	4507	14003
487	4516	13992
488	4524	13980
489	4532	13967
490	4540	13955
491	4548	13942
492	4557	13932
493	4566	13921
494	4574	13909
495	4584	13900
496	4600	13914
497	4611	13910
498	4620	13898
499	4629	13887
500	4637	13874
501	4645	13861
502	4653	13848
503	4661	13836
504	4669	13823
505	4677	13809
506	4685	13796
507	4693	13785
508	4709	13795
509	4717	13783
510	4726	13771
511	4734	13759
512	4742	13747
513	4750	13734
514	4758	13722
515	4776	13738
516	4785	13726
517	4793	13713
518	4802	13703
519	4809	13689
520	4817	13677
521	4826	13665
522	4834	13652
523	4842	13639
524	4850	13626
525	4858	13613
526	4865	13600
527	4874	13588
528	4882	13575
529	4890	13563
530	4898	13550
531	4905	13537
532	4913	13524
533	4921	13511
534	4929	13498
535	4937	13485
536	4951	13489
537	4960	13481
538	4968	13468
539	4977	13457
540	4985	13444
541	4993	13433
542	5001	13420
543	5009	13407
544	5017	13395
545	5025	13383
546	5034	13373
547	5042	13360
548	5050	13349
549	5058	13336
550	5066	13324
551	5074	13312
552	5083	13300
553	5091	13288
554	5100	13278
555	5108	13266
556	5117	13258
557	5131	13260
558	5142	13257
559	5151	13246
560	5159	13233
561	5167	13222
562	5175	13210
563	5183	13197
564	5191	13184
565	5198	13171
566	5207	13160
567	5214	13147
568	5223	13135
569	5231	13125
570	5241	13117
571	5249	13105
572	5257	13093
573	5265	13081
574	5273	13069
575	5281	13057
576	5289	13044
577	5297	13033
578	5308	13029
579	5322	13030
580	5329	13017
581	5339	13008
582	5347	12997
583	5355	12985
584	5363	12973
585	5371	12961
586	5379	12949
587	5387	12937
588	5395	12925
589	5403	12914
590	5411	12901
591	5419	12890
592	5427	12878
593	5435	12865
594	5443	12853
595	5451	12842
596	5459	12830
597	5467	12818
598	5480	12819
599	5495	12823
600	5503	12811
601	5512	12801
602	5525	12800
603	5534	12790
604	5542	12778
605	5549	12766
606	5557	12754
607	5565	12742
608	5573	12731
609	5581	12719
610	5589	12707
611	5597	12695
612	5605	12683
613	5613	12672
614	5622	12661
615	5630	12649
616	5638	12637
617	5652	12640
618	5667	12643
619	5677	12637
620	5686	12628
621	5695	12617
622	5703	12605
623	5711	12595
624	5721	12586
625	5729	12574
626	5737	12563
627	5745	12552
628	5753	12540
629	5761	12528
630	5768	12516
631	5776	12504
632	5784	12492
633	5792	12480
634	5800	12469
635	5808	12457
636	5816	12445
637	5824	12434
638	5832	12422
639	5845	12420
640	5861	12427
641	5870	12417
642	5878	12405
643	5886	12394
644	5894	12383
645	5903	12372
646	5910	12360
647	5918	12349
648	5926	12337
649	5934	12326
650	5942	12314
651	5950	12302
652	5958	12291
653	5966	12279
654	5974	12267
655	5982	12256
656	5990	12245
657	5998	12233
658	6006	12222
659	6018	12219
660	6034	12223
661	6043	12215
662	6052	12205
663	6061	12195
664	6069	12185
665	6078	12174
666	6085	12162
667	6093	12151
668	6101	12140
669	6110	12128
670	6118	12118
671	6126	12107
672	6134	12095
673	6142	12084
674	6150	12073
675	6158	12061
676	6167	12051
677	6175	12041
678	6198	12059
679	6206	12048
680	6215	12038
681	6223	12027
682	6232	12017
683	6242	12009
684	6250	11998
685	6258	11987
686	6266	11976
687	6274	11965
688	6284	11958
689	6292	11947
690	6301	11936
691	6308	11925
692	6316	11913
693	6325	11903
694	6333	11893
695	6342	11882
696	6350	11871
697	6367	11878
698	6375	11866
699	6384	11856
700	6392	11845
701	6400	11834
702	6408	11823
703	6416	11811
704	6423	11800
705	6431	11788
706	6439	11777
707	6448	11766
708	6456	11755
709	6464	11745
710	6472	11734
711	6481	11724
712	6489	11713
713	6497	11702
714	6507	11695
715	6515	11684
716	6524	11674
717	6536	11671
718	6547	11665
719	6556	11655
720	6563	11643
721	6572	11633
722	6580	11622
723	6591	11617
724	6601	11609
725	6609	11598
726	6617	11587
727	6625	11575
728	6633	11565
729	6641	11554
730	6649	11542
731	6657	11531
732	6665	11520
733	6673	11509
734	6681	11498
735	6689	11487
736	6697	11477
737	6717	11486
738	6725	11476
739	6734	11466
740	6742	11455
741	6750	11445
742	6758	11434
743	6766	11423
744	6774	11412
745	6782	11401
746	6790	11390
747	6799	11380
748	6806	11368
749	6814	11357
750	6822	11347
751	6830	11336
752	6838	11324
753	6846	11313
754	6854	11302
755	6862	11291
756	6870	11281
757	6879	11271
758	6890	11267
759	6902	11261
760	6910	11251
761	6919	11242
762	6927	11231
763	6936	11221
764	6944	11210
765	6952	11200
766	6960	11189
767	6967	11177
768	6976	11167
769	6983	11156
770	6991	11145
771	6999	11134
772	7007	11123
773	7016	11113
774	7024	11103
775	7032	11092
776	7040	11082
777	7048	11071
778	7067	11077
779	7079	11073
780	7089	11065
781	7099	11057
782	7107	11047
783	7115	11036
784	7123	11026
785	7132	11015
786	7140	11005
787	7151	10998
788	7159	10989
789	7167	10978
790	7175	10967
791	7183	10956
792	7191	10945
793	7199	10934
794	7207	10924
795	7215	10913
796	7222	10902
797	7230	10891
798	7249	10896
799	7259	10889
800	7267	10879
801	7276	10869
802	7284	10859
803	7293	10849
804	7301	10838
805	7309	10828
806	7317	10817
807	7325	10806
808	7333	10796
809	7341	10785
810	7349	10774
811	7357	10763
812	7365	10753
813	7373	10742
814	7380	10731
815	7388	10720
816	7396	10710
817	7404	10700
818	7423	10704
819	7433	10696
820	7441	10686
821	7449	10676
822	7458	10667
823	7467	10657
824	7480	10653
825	7488	10643
826	7496	10633
827	7504	10621
828	7512	10611
829	7519	10600
